,Interval,Well,Compound,Calcium,Concentration,Mean,Std
0,1,14,1,low,1,28.11111111111111,14.10181233427502
1,1,15,1,low,2,20.88888888888889,12.05657957760455
2,1,16,1,low,3,20.88888888888889,14.623990943347547
3,1,17,1,low,4,15.777777777777779,7.9808799292085855
4,1,18,1,low,5,14.555555555555555,5.960518247415889
5,1,19,1,low,1,16.444444444444443,8.661857640124188
6,1,20,1,high,2,32.666666666666664,10.511898020814321
7,1,21,1,high,3,29.22222222222222,17.38374080698526
8,1,22,1,high,4,20.0,8.336666000266533
9,1,23,1,high,5,11.444444444444445,5.981452814975453
10,1,26,5,low,1,21.333333333333332,12.206555615733702
11,1,27,5,low,2,17.22222222222222,5.517648452415616
12,1,28,5,low,3,17.88888888888889,7.406828681096323
13,1,29,5,low,4,20.555555555555557,6.306962642808166
14,1,30,5,low,5,16.88888888888889,7.881060278357927
15,1,31,5,low,1,43.0,11.247221879201993
16,1,32,5,high,2,36.22222222222222,9.431036233863406
17,1,33,5,high,3,34.22222222222222,15.586675220984251
18,1,34,5,high,4,12.88888888888889,6.641619615057092
19,1,35,5,high,5,36.111111111111114,13.157169570660368
20,1,38,10,low,1,14.333333333333334,4.716990566028302
21,1,39,10,low,2,10.777777777777779,4.265494630689909
22,1,40,10,low,3,18.88888888888889,8.594248722902492
23,1,41,10,low,4,10.777777777777779,7.031674369909663
24,1,42,10,low,5,16.11111111111111,13.23295549418614
25,1,43,10,low,1,19.77777777777778,8.3032791380541
26,1,44,10,high,2,20.11111111111111,8.298259523003068
27,1,45,10,high,3,8.333333333333334,2.9580398915498085
28,1,46,10,high,4,7.333333333333333,5.522680508593631
29,1,47,10,high,5,8.88888888888889,7.236097782030804
30,1,50,14,low,1,17.0,6.461423991660042
31,1,51,14,low,2,21.77777777777778,10.425662782022275
32,1,52,14,low,3,23.0,9.082951062292475
33,1,53,14,low,4,14.0,6.689544080129826
34,1,54,14,low,5,19.22222222222222,8.027729719194864
35,1,55,14,low,1,32.0,12.519984025548915
36,1,56,14,high,2,16.0,7.0
37,1,57,14,high,3,25.555555555555557,16.62160575208598
38,1,58,14,high,4,15.222222222222221,9.833333333333334
39,1,59,14,high,5,8.555555555555555,6.166666666666667
40,1,62,21,low,1,8.555555555555555,3.5039660069381067
41,1,63,21,low,2,7.111111111111111,3.4439963866286374
42,1,64,21,low,3,9.222222222222221,6.887992773257275
43,1,65,21,low,4,10.222222222222221,4.294699575575042
44,1,66,21,low,5,10.444444444444445,6.125991983163036
45,1,67,21,low,1,23.555555555555557,8.171767114754175
46,1,68,21,high,2,13.0,2.91547594742265
47,1,69,21,high,3,8.88888888888889,4.960958688712406
48,1,70,21,high,4,7.0,6.103277807866851
49,1,71,21,high,5,10.0,5.894913061275798
50,1,74,Negative,low,1,10.88888888888889,7.817359599705716
51,1,75,Negative,low,2,9.666666666666666,5.634713834792323
52,1,76,Negative,low,3,11.555555555555555,8.84747295999133
53,1,77,Negative,low,4,8.666666666666666,4.55521678957215
54,1,78,Negative,low,5,15.0,7.516648189186454
55,1,79,Negative,low,1,7.222222222222222,3.929942040850532
56,1,80,Negative,high,2,6.666666666666667,3.278719262151
57,1,81,Negative,high,3,10.666666666666666,4.847679857416329
58,1,82,Negative,high,4,10.666666666666666,4.092676385936225
59,1,83,Negative,high,5,9.555555555555555,3.8765677832043353
60,24,14,1,low,1,28.444444444444443,16.508415362407675
61,24,15,1,low,2,41.888888888888886,18.976593769987044
62,24,16,1,low,3,40.44444444444444,18.344693450090073
63,24,17,1,low,4,55.888888888888886,18.996344677624457
64,24,18,1,low,5,56.22222222222222,17.17394667641787
65,24,19,1,low,1,13.777777777777779,6.704061787039588
66,24,20,1,high,2,19.88888888888889,15.487450116501138
67,24,21,1,high,3,13.333333333333334,12.609520212918492
68,24,22,1,high,4,35.55555555555556,16.853123680130572
69,24,23,1,high,5,14.555555555555555,6.24722160466377
70,24,26,5,low,1,22.88888888888889,14.793955222019266
71,24,27,5,low,2,24.88888888888889,8.838049055708568
72,24,28,5,low,3,25.22222222222222,10.603982480391243
73,24,29,5,low,4,21.0,7.794228634059948
74,24,30,5,low,5,32.666666666666664,9.151502608861561
75,24,31,5,low,1,74.33333333333333,19.79898987322333
76,24,32,5,high,2,38.111111111111114,20.527082381846455
77,24,33,5,high,3,61.77777777777778,15.674643359401976
78,24,34,5,high,4,17.77777777777778,10.022197585581939
79,24,35,5,high,5,18.666666666666668,11.07925990308017
80,24,38,10,low,1,51.0,21.85177338341216
81,24,39,10,low,2,43.44444444444444,17.643065997092958
82,24,40,10,low,3,39.333333333333336,14.239030865898142
83,24,41,10,low,4,32.333333333333336,10.559356040971437
84,24,42,10,low,5,24.77777777777778,9.536479667279979
85,24,43,10,low,1,13.0,5.172040216394301
86,24,44,10,high,2,8.88888888888889,5.035981643246043
87,24,45,10,high,3,49.888888888888886,25.516878945339517
88,24,46,10,high,4,48.0,32.68026927673638
89,24,47,10,high,5,15.0,7.365459931328117
90,24,50,14,low,1,21.88888888888889,9.584420228219916
91,24,51,14,low,2,23.555555555555557,12.207693384819992
92,24,52,14,low,3,26.77777777777778,17.86601366965906
93,24,53,14,low,4,42.888888888888886,17.90561674757703
94,24,54,14,low,5,51.666666666666664,22.24859546128699
95,24,55,14,low,1,26.88888888888889,7.184087354084102
96,24,56,14,high,2,19.22222222222222,8.58454683978394
97,24,57,14,high,3,16.333333333333332,6.34428877022476
98,24,58,14,high,4,18.77777777777778,18.246765314554917
99,24,59,14,high,5,28.666666666666668,11.832159566199232
100,24,62,21,low,1,20.666666666666668,8.139410298049853
101,24,63,21,low,2,11.777777777777779,4.603742438977711
102,24,64,21,low,3,9.777777777777779,4.8419463487779835
103,24,65,21,low,4,22.0,7.937253933193772
104,24,66,21,low,5,40.111111111111114,14.119529422438662
105,24,67,21,low,1,11.222222222222221,6.339908867203412
106,24,68,21,high,2,21.22222222222222,12.507775359529147
107,24,69,21,high,3,11.333333333333334,9.420721840708385
108,24,70,21,high,4,69.66666666666667,24.561148181630273
109,24,71,21,high,5,41.111111111111114,7.043515536371813
110,24,74,Negative,low,1,35.666666666666664,13.162446581088183
111,24,75,Negative,low,2,35.44444444444444,11.875511684882374
112,24,76,Negative,low,3,47.22222222222222,18.826694995257252
113,24,77,Negative,low,4,28.444444444444443,12.787798003478853
114,24,78,Negative,low,5,34.22222222222222,18.552478121384333
115,24,79,Negative,low,1,85.11111111111111,37.55810313515728
116,24,80,Negative,high,2,19.0,10.723805294763608
117,24,81,Negative,high,3,29.333333333333332,17.284386017443605
118,24,82,Negative,high,4,48.44444444444444,35.34512381896232
119,24,83,Negative,high,5,19.444444444444443,10.333333333333334
120,96,14,1,low,1,11.11111111111111,6.954215348341688
121,96,15,1,low,2,15.444444444444445,5.725188012439221
122,96,16,1,low,3,9.666666666666666,6.304760106459246
123,96,17,1,low,4,8.666666666666666,4.58257569495584
124,96,18,1,low,5,9.0,4.444097208657795
125,96,19,1,low,1,6.444444444444445,5.387743291748205
126,96,20,1,high,2,9.222222222222221,9.134793070696482
127,96,21,1,high,3,8.222222222222221,6.495725089968359
128,96,22,1,high,4,11.333333333333334,5.766281297335398
129,96,23,1,high,5,10.88888888888889,10.018039284765813
130,96,26,5,low,1,64.77777777777777,36.051275212458776
131,96,27,5,low,2,65.0,34.35112807463534
132,96,28,5,low,3,58.888888888888886,38.59224159220492
133,96,29,5,low,4,9.333333333333334,5.873670062235365
134,96,30,5,low,5,13.555555555555555,5.76868943329226
135,96,31,5,low,1,129.11111111111111,73.46673472471137
136,96,32,5,high,2,56.111111111111114,36.443258788301456
137,96,33,5,high,3,143.66666666666666,80.09525578959094
138,96,34,5,high,4,11.0,7.280109889280518
139,96,35,5,high,5,8.777777777777779,1.9860625479688307
140,96,38,10,low,1,7.777777777777778,4.521553322083512
141,96,39,10,low,2,11.333333333333334,6.708203932499369
142,96,40,10,low,3,8.333333333333334,5.999999999999999
143,96,41,10,low,4,11.666666666666666,7.664854858377946
144,96,42,10,low,5,11.666666666666666,6.745368781616021
145,96,43,10,low,1,12.222222222222221,7.259093913460855
146,96,44,10,high,2,10.777777777777779,5.97448277631164
147,96,45,10,high,3,8.88888888888889,5.487359211051443
148,96,46,10,high,4,7.333333333333333,4.55521678957215
149,96,47,10,high,5,12.444444444444445,9.963823451756749
150,96,50,14,low,1,55.0,27.640549922170507
151,96,51,14,low,2,52.22222222222222,31.296077141463662
152,96,52,14,low,3,77.44444444444444,33.14027425622452
153,96,53,14,low,4,17.666666666666668,7.176350047203662
154,96,54,14,low,5,14.777777777777779,8.227663364798321
155,96,55,14,low,1,16.444444444444443,8.733715004382601
156,96,56,14,high,2,13.222222222222221,11.562631380634965
157,96,57,14,high,3,73.22222222222223,34.67988530033576
158,96,58,14,high,4,10.666666666666666,4.092676385936225
159,96,59,14,high,5,9.11111111111111,6.132789830991366
160,96,62,21,low,1,10.666666666666666,7.615773105863909
161,96,63,21,low,2,8.444444444444445,4.9525526527012085
162,96,64,21,low,3,6.333333333333333,4.242640687119285
163,96,65,21,low,4,10.88888888888889,4.702245326555295
164,96,66,21,low,5,6.444444444444445,4.558264777059114
165,96,67,21,low,1,26.0,12.103718436910205
166,96,68,21,high,2,7.222222222222222,4.1466184348749096
167,96,69,21,high,3,68.77777777777777,40.50548659681111
168,96,70,21,high,4,7.555555555555555,4.419024527854284
169,96,71,21,high,5,6.666666666666667,5.172040216394301
170,96,74,Negative,low,1,6.625,3.3354160160315836
171,96,75,Negative,low,2,10.0,4.780914437337575
172,96,76,Negative,low,3,9.333333333333334,7.826237921249264
173,96,77,Negative,low,4,8.777777777777779,5.868938953886336
174,96,78,Negative,low,5,9.88888888888889,4.648775226993784
175,96,79,Negative,low,1,11.444444444444445,12.360330811826106
176,96,80,Negative,high,2,12.333333333333334,6.123724356957944
177,96,81,Negative,high,3,9.444444444444445,5.126185499743233
178,96,82,Negative,high,4,10.444444444444445,4.772607021092118
179,96,83,Negative,high,5,8.88888888888889,7.688375063113864
