,k1,k10,k11,k12,k13,k17,k18,k19,k2,k3,k5,k8,modified,Path,fixed
0,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0000/,1
1,0.001,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0001/,1
2,0.0016681005372000592,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0002/,1
3,0.0027825594022071257,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0003/,1
4,0.004641588833612777,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0004/,1
5,0.007742636826811269,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0005/,1
6,0.01291549665014884,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0006/,1
7,0.021544346900318832,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0007/,1
8,0.03593813663804626,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0008/,1
9,0.05994842503189409,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0009/,1
10,0.1,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0010/,1
11,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0011/,1
12,0.001,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0012/,1
13,0.0016681005372000592,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0013/,1
14,0.0027825594022071257,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0014/,1
15,0.004641588833612777,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0015/,1
16,0.007742636826811269,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0016/,1
17,0.01291549665014884,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0017/,1
18,0.021544346900318832,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0018/,1
19,0.03593813663804626,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0019/,1
20,0.05994842503189409,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0020/,1
21,0.1,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0021/,1
22,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0022/,1
23,0.001,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0023/,1
24,0.0016681005372000592,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0024/,1
25,0.0027825594022071257,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0025/,1
26,0.004641588833612777,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0026/,1
27,0.007742636826811269,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0027/,1
28,0.01291549665014884,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0028/,1
29,0.021544346900318832,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0029/,1
30,0.03593813663804626,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0030/,1
31,0.05994842503189409,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0031/,0
32,0.1,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0032/,1
33,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0033/,2
34,0.001,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0034/,1
35,0.0016681005372000592,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0035/,1
36,0.0027825594022071257,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0036/,1
37,0.004641588833612777,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0037/,1
38,0.007742636826811269,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0038/,1
39,0.01291549665014884,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0039/,3
40,0.021544346900318832,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0040/,3
41,0.03593813663804626,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0041/,3
42,0.05994842503189409,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0042/,3
43,0.1,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0043/,3
44,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0044/,3
45,0.001,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0045/,1
46,0.0016681005372000592,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0046/,0
47,0.0027825594022071257,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0047/,1
48,0.004641588833612777,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0048/,1
49,0.007742636826811269,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0049/,1
50,0.01291549665014884,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0050/,3
51,0.021544346900318832,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0051/,3
52,0.03593813663804626,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0052/,3
53,0.05994842503189409,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0053/,3
54,0.1,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0054/,3
55,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0055/,1
56,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0056/,1
57,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0057/,1
58,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0058/,1
59,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0059/,1
60,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0060/,1
61,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0061/,1
62,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0062/,1
63,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0063/,1
64,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0064/,1
65,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0065/,1
66,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0066/,1
67,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0067/,1
68,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0068/,1
69,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0069/,1
70,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0070/,1
71,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0071/,1
72,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0072/,1
73,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0073/,1
74,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0074/,1
75,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0075/,1
76,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0076/,1
77,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0077/,1
78,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0078/,1
79,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0079/,1
80,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0080/,1
81,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0081/,1
82,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0082/,1
83,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0083/,1
84,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0084/,1
85,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0085/,1
86,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0086/,1
87,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0087/,1
88,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0088/,3
89,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0089/,3
90,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0090/,3
91,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0091/,3
92,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0092/,3
93,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0093/,3
94,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0094/,3
95,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0095/,3
96,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0096/,1
97,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0097/,0
98,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0098/,1
99,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0099/,3
100,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.1,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0100/,3
101,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.16681005372000587,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0101/,3
102,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.2782559402207124,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0102/,3
103,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.46415888336127786,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0103/,3
104,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,0.774263682681127,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0104/,3
105,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.291549665014884,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0105/,3
106,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,2.1544346900318834,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0106/,1
107,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,3.593813663804626,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0107/,1
108,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,5.994842503189409,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0108/,1
109,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,10.0,0.01,1.0,1.0,k2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0109/,1
110,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0110/,1
111,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.001,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0111/,1
112,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.0016681005372000592,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0112/,1
113,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.0027825594022071257,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0113/,1
114,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.004641588833612777,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0114/,1
115,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.007742636826811269,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0115/,1
116,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01291549665014884,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0116/,1
117,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.021544346900318832,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0117/,1
118,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.03593813663804626,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0118/,1
119,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.05994842503189409,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0119/,1
120,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.1,1.0,1.0,k3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0120/,1
