,id,label,parent_label,description,smirks
0,RXNO:0000451,aldehyde Sakurai reaction,"Sakurai reaction, aldehyde or ketone",A carbon-carbon coupling reaction in which an aldehyde reacts with allyltrimethylsilane to form a homoallylic alcohol.,
1,RXNO:0000026,Beckmann rearrangement,rearrangement step,A rearrangement where an oxime rearranges to form an amide. Often there is selective migration of one group.,
2,RXNO:0000447,Duff reaction,formylation,Formylation of a phenol or aromatic amine with hexamethylenetetramine in acidic conditions.,
3,RXNO:0000061,Mukaiyama aldol condensation,aldol condensation,An aldol condensation between an aldehyde or ketone and a silyl enol ether (also known as a ketene silyl acetal) to give a beta-hydroxy carbonyl compound.,
4,RXNO:0000193,Hiyama coupling,carbon-carbon coupling reaction,A carbon-carbon coupling reaction where an organosilane reacts with an organic halide or triflate. It is catalysed by a palladium or nickel complex.,
5,RXNO:0000186,Willgerodt-Kindler reaction,functional group modification,The conversion of an aryl alkyl ketone to an amide using sulfur and dry ammonia or a primary or secondary amine. The amide carbonyl group is always at the end of the alkyl chain.,
6,RXNO:0000474,Auwers synthesis,ring expansion,Ring expansion of a 2-bromo-2-(alpha-bromobenzyl)-1-benzofuran to a flavonol in alcoholic alkali.,
7,RXNO:0000273,retro-Diels-Alder reaction,ring breaking,"The reverse of a [4+2] cycloaddition reaction, in which an unsaturated six-membered ring compound fragments to give a diene and a compound containing a double or triple bond (a dienophile).",
8,RXNO:0000003,Perkin reaction,aldol condensation,An aldol condensation where an aryl aldehyde reacts with an acid anhydride to form a cinnamic acid.,[c:1][C:2](=O)O>>[c:1][C:2]=C(=O)O
9,RXNO:0000330,acetate protection,hydroxyl group protection,A hydroxyl group protection where the hydroxyl oxygen atom is protected by formation of an acetate ester.,
10,RXNO:0000032,Mannich reaction,molecular skeleton joining reaction,"A carbon-carbon coupling reaction where ammonia or an amine reacts with a non-enolisable aldehyde, often methanal, and an enolisable carbonyl compound to form a beta-amino carbonyl compound.",[N:1].[C:2]=O.[C:3][C:4](=O)[C:5]>>[N:1][C:2][C:3][C:4](=O)[C:5]
11,RXNO:0000470,Allan-Robinson flavone synthesis,Allan-Robinson reaction,Reaction of ortho-hydroxyaryl ketones with aromatic carboxylic acid anhydrides to yield a flavone.,
12,RXNO:0000484,deprotection objective,functional modification objective,A functional modification objective that is satisfied by deprotecting some functional group.,
13,RXNO:0000157,Nef reaction,functional group modification,"The conversion of a primary nitroalkane or secondary nitroalkane to an aldehyde or ketone, respectively.",
14,RXNO:0000023,Koerner-Contardi reaction,aromatic substitution step,An aromatic substitution reaction where an aryl diazonium salt reacts with a copper(II) halide to form an aromatic halide.,
15,RXNO:0000277,hydroalumination,hydrometallation,"The reaction of an aluminium alkyl with an alkene, to give an intermediate aluminium species that can give various products after work-up.",
16,RXNO:0000404,oxa-Pictet-Spengler reaction,fused-ring-system formation,"Cyclisation-condensation of a beta-arylethanol with an aldehyde to yield an ortho-,peri-fused aryl-oxacycle.",
17,RXNO:0000460,intramolecular acyloin condensation,acyloin condensation,A reductive coupling reaction between two ester groups in the same molecule to give an acyloin (an alpha-hydroxyketone).,
18,RXNO:0000525,Castro-Stephens coupling,molecular skeleton joining reaction,Palladium-catalysed coupling of copper(I) acetylides with aryl halides to yield arylacetylenes.,
19,RXNO:0000100,Cadiot-Chodkiewicz coupling,molecular skeleton joining reaction,A coupling reaction between a terminal alkyne and an alkynyl halide catalysed by Cu(I) salts.,
20,RXNO:0000338,amide reduction to amine,reduction,A reduction process where an amide is transformed into an amine.,
21,RXNO:0000374,Chan-Lam coupling,functional group oxidation,"Arylation of an amine or an alcohol with an arylboronic acid, stannane or siloxane in air with a copper acetate catalyst.",
22,RXNO:0000536,Parham cyclisation,fused-ring-system formation,Reaction of a bromoarene that has an electrophilic group at the para-position with lithium bromide or lithium iodide followed by intramolecular cyclisation to yield a fused-ring system.,
23,RXNO:0000155,Finkelstein reaction,functional group modification,"The conversion of an alkyl chloride, alkyl bromide or alkyl sulfonate ester to an alkyl iodide by SN2 substitution. The reaction relies upon the equilibrium being pushed to completion by the precipitation.",
24,RXNO:0000311,Tsuji-Trost reaction,allylation,"A carbon-carbon coupling reaction in which a nucleophile reacts with an allyl acetate, allyl halide, allyl carbonate, allyl carbamate, allyl phosphate, allyl sulfone or allyl nitro compound to give an allyl compound. The reaction is catalsed by Pd(0).",
25,RXNO:0000195,"Stevens rearrangement, ammonium",Stevens rearrangement,"The 1,2-rearrangement of an alpha-methylene ammonium salt to an amine in the presence of strong base.",
26,RXNO:0000270,copper(I)-catalyzed azide-alkyne cycloaddition,[3+2] cycloaddition,"A [3+2] cycloaddition reaction between an azide and an alkyne to give a 1,2,3-triazole as a single regioisomer.",
27,RXNO:0000381,Tiffeneau-Demjanov rearrangement,rearrangement step,Rearrangement of a beta-amino alcohol to yield a carbonyl compound. In the first step the amine is diazotised by reaction with nitrous acid.,
28,RXNO:0000129,Ugi reaction,molecular skeleton joining reaction,"Reaction of a ketone or aldehyde, amine, an isocyanide and carboxylic acid to form a bisamide.",
29,RXNO:0000046,Friedel-Crafts alkylation,Friedel-Crafts reaction,A carbon-carbon coupling reaction between an arene and an alkyl halide/alkene/alcohol (anything that can form a carbocation) to give a substituted arene. The reaction is catalysed by a Lewis acid.,
30,RXNO:0000455,functional reduction objective,functional group modification objective,A functional group modification objective that is satisfied by a reaction in which a functional group is reduced.,
31,RXNO:0000238,Katritzky pyrylium-pyridinium method,substitution step,The substitution of an amine with a nucleophile using a pyrylium salt.,
32,RXNO:0000352,heteroaryl reduction to saturated heterocycle,hydrogenation,A hydrogenation reaction where a heteroaryl is reduced to a saturated heterocycle.,
33,RXNO:0000454,end-of-chain chain shortening objective,molecular skeleton cleaving objective,A molecular skeleton transformation objective that is satisfied by a reaction in which a single skeletal atom is removed from the end of a chain.,
34,RXNO:0000280,alkene metathesis,multiple-bond metathesis,"A joining reaction in which two carbon-carbon double bonds are redistributed among two fragments, i.e. two alkenes. It is typically catalysed by a metal carbenoid, and proceeds via two four-membered intermediates (metallacyclobutanes). The reaction is driven by release of a low-MW alkene.",
35,RXNO:0000166,Hofmann elimination,molecular skeleton elimination reaction,The elimination of a methylated amine from an alkylamine to form an olefin. The reaction proceeds via the quaternary ammonium salt.,N1[C:2][C:3][C:4][C:5][C:6]1[C:7]>>[C:2]=[C:3][C:4][C:5][C:6]=[C:7]
36,RXNO:0000208,aromatic Claisen rearrangement,"[3,3]-sigmatropic rearrangement","The [3,3]-sigmatropic rearrangement, and subsequent re-aromatisation, of an allyl aryl ether to give an ortho-allyl phenol.",
37,RXNO:0000465,fused-ring-system formation objective,molecular ring formation objective,A molecular transformation objective that is satisfied by a reaction in which a fused ring system is present in a product that was not present in any of the reactants.,
38,RXNO:0000113,Brook rearrangement,rearrangement step,"The rearrangement of an alpha-, beta- or gamma-hydroxy silane to give a silyl ether. It is catalysed by a base.",
39,RXNO:0000168,Weerman reaction,end-of-chain chain shortening,"The degradation of an alpha-hydroxy amide or an alpha,beta-unsaturated amide to the lower homologue aldehyde, especially in carbohydrate chemistry. The process proceeds via Hofmann degradation.",
40,RXNO:0000494,Bartoli indole synthesis,indole synthesis,Reaction of an ortho-substituted nitroarene with a vinyl Grignard reagent to yield a 7-substituted indole.,
41,RXNO:0000462,molecular extrusion objective,molecular skeleton cleaving objective,A molecular transformation objective that is satisfied by a cleaving reaction in which a skeletal atom or group of atoms is removed from the middle of a molecule.,
42,RXNO:0000481,Myers-Saito cyclisation,ring formation reaction step,Cyclization of a enynyl allene to yield a toluene biradical with radical centres on the methyl group and at the meta position.,
43,RXNO:0000551,reductive imination,imination,A functional group modification where a carbonyl oxygen is replaced by an imine.,
44,RXNO:0000355,allylic oxidation,oxidation,An oxidation reaction where an allylic C-H bond is replaced by a C=O bond.,
45,RXNO:0000546,Sandmeyer isonitrosoacetanilide isatin synthesis,indole synthesis,"Reaction of aniline, hydroxylamine and chloral hydrate to form an aniline intermediate followed by cyclization in acid and hydrolysis to yield isatin.",
46,RXNO:0000509,Cadogan indole synthesis,indole synthesis,A Cadogan cyclization that results in an indole.,
47,RXNO:0000216,imine Sakurai reaction,Sakurai reaction,A carbon-carbon coupling reaction in which an imine reacts with allyltrimethylsilane to form a homoallylic amine.,
48,RXNO:0000271,Fischer-Tropsch process,molecular skeleton joining reaction,A process in which carbon monoxide and hydrogen ('syngas') are converted into various liquid hydrocarbons.,
49,RXNO:0000509,Cadogan indole synthesis,Cadogan cyclization,A Cadogan cyclization that results in an indole.,
50,RXNO:0000511,Madelung indole synthesis,indole synthesis,Reaction of an N-(2-alkylphenyl)alkanamide with strong base to form an indole.,
51,RXNO:0000233,Achmatowicz rearrangement,ring rearrangement,"A rearrangement of a furfuryl alcohol derivative to a dihydropyranone, from which monosaccharides may be synthesised.",
52,RXNO:0000516,Bergmann degradation,terminal amino-acid residue cleaving reaction,"Removal of a terminal amino acid residue from a peptide by benzoylation, azidation, treatment with benzyl alcohol, hydrogenation and hydrolysis.",
53,RXNO:0000527,Chichibabin reaction,amination,Reaction of an azacycle with an alkali-metal amide to yield an aminated azacycle.,
54,RXNO:0000363,amide to imidoyl chloride conversion,functional group modification,A functional group modification where an amide is converted to an imidoyl chloride.,
55,RXNO:0000258,Simmons-Smith reaction,ring formation reaction step,A ring formation reaction where an alkene reacts with a dihalomethane in the presence of a metal atom or metal complexes to form a cyclopropane. The traditional reaction uses a zinc-copper couple and diiodomethane.,
56,RXNO:0000535,Bradsher reaction,fused-ring-system formation,"Reaction of an ortho-acyldiarylmethane, catalysed by acid, to yield an anthracene.",
57,RXNO:0000214,"Sakurai reaction, acid chloride",Sakurai reaction,"A carbon-carbon coupling reaction in which an acid chloride reacts with allyltrimethylsilane to form a gamma,delta-unsaturated ketone.",
58,RXNO:0000242,"Noyori asymmetric hydrogenation, alkene",addition reaction step,The homogeneous asymmetric catalytic hydrogenation of a C=C double bond using a ruthenium(II) BINAP catalyst.,
59,RXNO:0000180,"Elbs persulfate oxidation, tolyl variant",functional group oxidation,The oxidation of a methyl-substituted aromatic compound to the corresponding benzaldehyde using potassium persulfate.,
60,RXNO:0000143,Sharpless asymmetric aminohydroxylation,addition reaction step,"The aminohydroxylation of an alkene to give a beta-amino alcohol, with control of absolute stereochemistry at the two new stereocentres. The oxidising agent is an oxygen-containing osmium species and/or an amino derivative which can be used catalytically with a stoichiometric oxidant and a chiral ligand.",
61,RXNO:0000028,Cope rearrangement,rearrangement step,"A [3,3]-sigmatropic rearrangement where a 1,5-hexadiene rearranges to form a 1,5-hexadiene.",
62,RXNO:0000474,Auwers synthesis,oxacycle synthesis,Ring expansion of a 2-bromo-2-(alpha-bromobenzyl)-1-benzofuran to a flavonol in alcoholic alkali.,
63,RXNO:0000044,Knoevenagel condensation,molecular skeleton joining reaction,A carbon-carbon coupling reaction of an aldehyde and a methylene compound.,
64,RXNO:0000164,Paal-Knorr pyrrole synthesis,Paal-Knorr synthesis,"The cyclisation of a 1,4-dicarbonyl compound with an amine to give a pyrrole.",O=[C:1]-[C:2]-[C:3]-[C:4]=O.[N:5]>>[n:5]1[c:1][c:2][c:3][c:4]1
65,RXNO:0000135,Barton decarboxylation,end-of-chain chain shortening,The decarboxylation of a carboxylic acid to the lower homologue alkane using a pyridine thione.,
66,RXNO:0000368,Crabbé homologation,chain lengthening,"Oxidation of an alkene to an allene by heating with formaldehyde, an amine and an inorganic salt.",[C:1]=[C:2].[C:3]=O>>[C:1]=[C:2]=[C:3]
67,RXNO:0000115,"Nicholas reaction, nucleophilic heteroatom centre",Nicholas reaction,The reaction of a propargylic cation (stabilised with dicobalt octacarbonyl) with a hydride or amine or enamine to give a substituted alkyne.,
68,RXNO:0000418,phthalimide protection,amino group protection,Protection of a primary amino group by reaction with phthalic anhydride.,
69,RXNO:0000099,Eglinton reaction,molecular skeleton joining reaction,A coupling reaction between two molecules of a terminal alkyne using stoichiometric Cu(II) salts.,
70,RXNO:0000286,Luche reduction,functional group reduction,"The chemoselective reduction of an enone to give an allylic alcohol, using sodium borohydride and an lanthanoid chloride, typically cerium chloride.",
71,RXNO:0000507,Krapcho decarboxylation,end-of-chain chain shortening,Reaction of an ester with an electron-withdrawing group alpha- to the ester functionality with a metal halide or pseudohalide to yield the shorter homologous system.,
72,RXNO:0000295,hydrozirconation,hydrometallation,"The reaction of a organozirconium hydride with an alkene or alkyne, to give an intermediate zirconium species that can give various products after work-up. The zirconium reagent used is typically Schwartz's reagent, Cp2ZrHCl.",
73,RXNO:0000343,imine reduction to amine,reduction,A reduction reaction where an imine function is replaced by an amine.,
74,RXNO:0000370,Demko-Sharpless reaction,functional group modification,A functional group modification of a nitrile to a 1H-tetrazole by addition of sodium azide.,"[#6,S,N;H0:1][C:2]#[N:3].[Na+].[N-:4]=[N+:5]=[N-:6]>>[*:1][C:2]1=[N:3][N:4][N:5]=[N:6]1"
75,RXNO:0000514,Chapman rearrangement,rearrangement step,"Rearrangement of an aryl imino ether to yield an N,N-diaryl amide.",
76,RXNO:0000126,Doebner reaction,quinoline synthesis,"The reaction between an aromatic amine, an aldehyde and pyruvic acid on heating to give a quinoline 4-carboxylic acid (cinchoninic acid).",
77,RXNO:0000428,pivaloyl protection,hydroxyl group protection,"Protection of a hydroxy group by reaction with pivaloyl chloride, resulting in formation of a pivaloyl ester.",
78,RXNO:0000492,Bamberger rearrangement,rearrangement step,Rearrangement of an N-phenylhydroxamine in acid to yield a para-aminophenol.,
79,RXNO:0000540,Sugasawa reaction,functional group addition step,Reaction of an aniline with a nitrile in the presence of boron trichloride and a Lewis acid to yield an ortho-acylated aniline.,
80,RXNO:0000153,Johnson-Claisen rearrangement,joining with rearrangement,"The coupling and subsequent [3,3]-sigmatropic rearrangement of an allylic alcohol and trimethyl orthoacetate to give a gamma,delta-unsaturated alkyl ester.",
81,RXNO:0000397,Pechmann pyrazole synthesis,pyrazole synthesis,Reaction of an organic diazo compound with an acetylene to yield a pyrazole.,
82,RXNO:0000096,azo coupling,functional group modification,A coupling reaction of a diazonium salt with a phenol or aniline to give an azo compound.,
83,RXNO:0000080,Peterson olefination,olefination,"A carbon-carbon coupling reaction in which an alpha-silyl carbanion reacts with an aldehyde or a ketone to give an alkene, proceeding via a beta-hydroxysilane. The stereochemistry of the alkene can be controlled by treating the intermediate with acid or base.",
84,RXNO:0000148,Claisen rearrangement,rearrangement step,"The [3,3]-sigmatropic rearrangement of an allyl vinyl ether to give a gamma,delta-unsaturated carbonyl compound.",
85,RXNO:0000285,Luche reaction,carbon-carbon coupling reaction,A carbon-carbon coupling reaction where an aldehyde or ketone reacts with an allyl halide and zinc to give a homoallylic alcohol.,
86,RXNO:0000199,3-aza-Cope rearrangement,aza-Cope rearrangement,"The rearrangement of a 3-aza-1,5-hexadiene to form a delta,epsilon-unsaturated imine.",
87,RXNO:0000389,Seyferth-Gilbert ketone homologation,Seyferth-Gilbert homologation,Reaction of a ketone with a dimethyl diazomethyl phosphonate under basic conditions to yield a terminal alkyne.,
88,RXNO:0000102,Leuckart-Wallach reaction,reductive amination,The reductive amination of ketones or aldehydes with an amine and formic acid to form amines.,
89,RXNO:0000405,Prilezhaev epoxidation,oxacycle synthesis,Epoxidation of an alkene by reaction with a peroxy acid.,
90,RXNO:0000382,Demjanov rearrangement,substitution step,Substitution reaction of a primary amine via deazotisation to yield a mixture of the corresponding primary alcohol and secondary alcohol.,
91,RXNO:0000354,benzylic oxidation,oxidation,An oxidation reaction where a carbon centre bonded to the benzene ring is oxidized to a carboxyl group.,
92,RXNO:0000550,Collins oxidation,alcohol oxidation,Oxidation of a primary alcohol with a pyridine-chromium trioxide complex in dichloromethane to yield an aldehyde.,
93,RXNO:0000086,Henry reaction,carbon-carbon coupling reaction,A carbon-carbon coupling reaction between a nitroalkane and an aldehyde or ketone to give a beta-hydroxy nitroalkane.,
94,RXNO:0000091,Wittig methylenation,Wittig reaction,A carbon-carbon coupling reaction where a carbonyl compound reacts with a phosphonium ylide to give a terminal alkene.,
95,RXNO:0000476,Meyer-Schuster rearrangement,rearrangement step,"Rearrangement of a propargyl alcohol to an alpha,beta-unsaturated carbonyl compound via an allene intermediate to yield the gamma-substituted product.",
96,RXNO:0000054,Curtius rearrangement,rearrangement step,"A rearrangement of an acyl azide to give an isocyanate by pyrolysis, with the elimination of molecular nitrogen.",
97,RXNO:0000505,Mukaiyama-Hoshino method,functional group modification,Reaction of a primary nitro compound with phenyl isocynatate and triethylamine to yield a nitrile oxide.,
98,RXNO:0000304,Julia-Kocienski olefination,olefination,A carbon-carbon coupling reaction between a tetrazole sulfone and an aldehyde or ketone to give a (typically trans) alkene.,
99,RXNO:0000094,Ramberg-Backlund reaction,extrusion reaction,"The reaction of an alpha-halosulfone to give an alkene, with the extrusion of sulfur dioxide.",
100,RXNO:0000169,Dakin reaction,cleaving reaction,The reaction of ortho- or para-phenolic (or ortho- or para-anilinic) aldehydes or ketones with hydrogen peroxide to form bisphenols (or hydroxy anilines) and carboxylic acids.,
101,RXNO:0000192,Buchwald-Hartwig amination,aromatic substitution step,A reaction in which an aryl halide or aryl triflate reacts with a primary or secondary amine in the presence of base to give a secondary or tertiary amine. It is catalysed by a palladium catalyst.,
102,RXNO:0000499,Beirut reaction,ring expansion,"Reaction of a benzofurazan 1-oxide with an enamine or enolate to yield a quinoxaline-1,4-dioxide.",
103,RXNO:0000231,aza-ene reaction,molecular skeleton joining reaction,A joining reaction where an N=C system with an allylic hydrogen reacts with a compound containing a multiple bond (an enophile) to form a substituted alkene.,
104,RXNO:0000329,planned synthesis,planned process,An experimental procedure with the aim of producing a portion of a given compound or mixture.,
105,RXNO:0000048,Prins reaction,molecular skeleton joining reaction,"A carbon-carbon coupling between formaldehyde and an alkene to give a 1,3-diol or an allylic alcohol, catalysed by acid.",
106,RXNO:0000545,Sandmeyer diphenylurea isatin synthesis,indole synthesis,Reaction of diphenylthiourea with lead carbonate and potassium cyanide to form a cyanoformidine followed by ring closure and acid hydrolysis to yield isatin.,
107,RXNO:0000055,Vilsmeier-Haack reaction,carbon-carbon coupling reaction,A formylation of an activated arene with a disubstituted formamide to give an aryl carboxaldehyde.,
108,RXNO:0000261,"[2,3]-Wittig rearrangement",Wittig rearrangement,"A base-mediated 2,3-sigmatropic rearrangement of an allyl ether to give a homoallylic alcohol.",
109,RXNO:0000159,Doebner-Miller reaction,fused-ring-system formation,"The formation of a quinoline from a primary aromatic amine and an alpha,beta-unsaturated carbonyl compound.",
110,RXNO:0000176,Beckmann fragmentation,cleaving reaction,"The cleavage of an oxime to the corresponding nitrile and an alkyl halide. This reaction is related to the Beckmann rearrangement, and occurs when the R group that is anti to the oxime hydroxyl is quaternary.",
111,RXNO:0000160,Fmoc protection,amino group protection,The protection of an amine (often a peptide) as its 9H-fluoren-9-ylmethoxycarbonyl derivative.,
112,RXNO:0000507,Krapcho decarboxylation,decarboxylation,Reaction of an ester with an electron-withdrawing group alpha- to the ester functionality with a metal halide or pseudohalide to yield the shorter homologous system.,
113,RXNO:0000219,crossed Cannizzaro reaction,functional group modification,The reaction between two different non-enolisable aldehydes to give a carboxylic acid and an alcohol. The reaction is base-catalysed.,
114,RXNO:0000450,molecular ring contraction objective,molecular transformation objective,A molecular skeleton transformation objective that is satisfied by a reaction where an existing ring is reduced in size.,
115,RXNO:0000543,Eastwood reaction,molecular skeleton elimination reaction,"Reaction of a 1,2-diol with triethoxymethane under heat to yield an olefin.",
116,RXNO:0000266,Fenton reaction,functional group oxidation,"Either: (a) The oxidation of a 1,2-glycol with Fenton's reagent (hydrogen peroxide and iron salts) to give an alpha-hydroxy aldehyde;  (b) The oxidation of an alpha-hydroxy carboxylic acid with Fenton's reagent to give an alpha-keto carboxylic acid; or (c) the reaction of the components of Fenton's reagent, viz. reduction of hydrogen peroxide by Fe(II) , producing an hydroxyl radical.",
117,RXNO:0000152,Eschenmoser-Claisen rearrangement,"[3,3]-sigmatropic rearrangement","The coupling and subsequent [3,3]-sigmatropic rearrangement of an allylic alcohol and alpha,alpha-dialkoxy ethylamine to give a gamma,delta-unsaturated dialkyl amide.",
118,RXNO:0000436,ethyl ester deprotection,carboxy group deprotection,A deprotection reaction where the reactant is an ethyl ester and the product is a carboxylic acid.,
119,RXNO:0000131,Wacker process,Wacker-Tsuji oxidation,"The oxidation of ethene to acetaldehyde, catalysed by PdCl2 and CuCl2, and using molecular oxygen as the oxidant.",
120,RXNO:0000410,Hofmann rearrangement,end-of-chain chain shortening,Rearrangement of a primary carboxylic amide to an isocyanate.,
121,RXNO:0000548,Sarett primary alcohol oxidation,primary alcohol oxidation to aldehyde,Oxidation of a primary alcohol with a pyridine-chromium trioxide complex to yield an aldehyde.,
122,RXNO:0000419,phthalimide deprotection,amino group deprotection,Conversion of a phthalimide into the corresponding primary amine.,
123,RXNO:0000139,Gattermann reaction,carbon-carbon coupling reaction,The formylation of an arene with hydrogen cyanide to give an aryl aldehyde or ketone.,
124,RXNO:0000483,Baudisch reaction,functional group addition step,Copper-catalysed reaction of benzene with a nitrosylating agent and hydrogen peroxide to form an o-nitrosophenol.,
